frequency,channel,power,log_power,patient
27.83203125,Fp1,5.120770892507643e-13,-12.290664654422493,Healthy
28.076171875,Fp1,5.27579881332138e-13,-12.277711774143546,Healthy
28.3203125,Fp1,5.314883621384089e-13,-12.2745062406692,Healthy
28.564453125,Fp1,4.95223473099921e-13,-12.30519877837371,Healthy
28.80859375,Fp1,4.724881458741494e-13,-12.3256090829135,Healthy
29.052734375,Fp1,5.319016224317097e-13,-12.274168684971649,Healthy
29.296875,Fp1,5.494857526354912e-13,-12.260043563717296,Healthy
29.541015625,Fp1,5.056177216996972e-13,-12.296177712610346,Healthy
29.78515625,Fp1,4.796090903452436e-13,-12.319112594027391,Healthy
30.029296875,Fp1,4.4088395245343173e-13,-12.355675708585242,Healthy
30.2734375,Fp1,5.135465584771361e-13,-12.289420176851328,Healthy
30.517578125,Fp1,4.490224898694115e-13,-12.347731906253742,Healthy
30.76171875,Fp1,5.052301829652748e-13,-12.296510712147374,Healthy
31.005859375,Fp1,5.172398362816463e-13,-12.286308034427648,Healthy
31.25,Fp1,5.154858728852678e-13,-12.287783232246698,Healthy
31.494140625,Fp1,4.28700761303414e-13,-12.367845745251724,Healthy
31.73828125,Fp1,4.388320604920316e-13,-12.357701650955711,Healthy
31.982421875,Fp1,4.845816337196313e-13,-12.314633050217854,Healthy
32.2265625,Fp1,4.663564274126286e-13,-12.33128203333106,Healthy
32.470703125,Fp1,4.36973883219278e-13,-12.359544518893877,Healthy
32.71484375,Fp1,4.844787036776905e-13,-12.314725308558598,Healthy
32.958984375,Fp1,4.2395665281801843e-13,-12.372678545304217,Healthy
33.203125,Fp1,3.882240057036033e-13,-12.410917613661018,Healthy
33.447265625,Fp1,4.131185390667795e-13,-12.3839253152298,Healthy
33.69140625,Fp1,4.3166633748148413e-13,-12.36485181749165,Healthy
33.935546875,Fp1,4.283215499593376e-13,-12.368230074580822,Healthy
34.1796875,Fp1,4.3656213444883943e-13,-12.359953935857934,Healthy
34.423828125,Fp1,3.85974934993704e-13,-12.413440897264431,Healthy
34.66796875,Fp1,3.5211591817182e-13,-12.453314341252115,Healthy
34.912109375,Fp1,3.74065298926688e-13,-12.42705257831251,Healthy
35.15625,Fp1,3.808630038177778e-13,-12.419231211687,Healthy
35.400390625,Fp1,3.887982439102782e-13,-12.410275705324462,Healthy
35.64453125,Fp1,3.4651864216676414e-13,-12.460273396052546,Healthy
35.888671875,Fp1,3.285755322595869e-13,-12.483364779915815,Healthy
36.1328125,Fp1,4.0113006516442374e-13,-12.39671478592244,Healthy
36.376953125,Fp1,5.103669435812454e-13,-12.292117462588564,Healthy
36.62109375,Fp1,4.1892710376286253e-13,-12.377861540727675,Healthy
36.865234375,Fp1,3.926518400708213e-13,-12.405992362987588,Healthy
37.109375,Fp1,3.965530853817266e-13,-12.401698666744478,Healthy
37.353515625,Fp1,3.6967495266891224e-13,-12.43217997405818,Healthy
37.59765625,Fp1,3.728419999579613e-13,-12.428475171096562,Healthy
37.841796875,Fp1,3.68207567428705e-13,-12.433907290088506,Healthy
38.0859375,Fp1,3.353579212516692e-13,-12.47449143104016,Healthy
38.330078125,Fp1,3.534476944010156e-13,-12.451674846969672,Healthy
38.57421875,Fp1,4.714156406767936e-13,-12.3265960125055,Healthy
38.818359375,Fp1,4.059920903675754e-13,-12.391482427366594,Healthy
39.0625,Fp1,4.384902586208719e-13,-12.358040050357676,Healthy
39.306640625,Fp1,3.2641743376209533e-13,-12.48622665388729,Healthy
39.55078125,Fp1,3.4128440962478725e-13,-12.466883550480734,Healthy
39.794921875,Fp1,3.771585999107554e-13,-12.423475985121032,Healthy
0.0,Fp2,2.874061155321986e-09,-8.541503995027018,Healthy
0.244140625,Fp2,2.3559399893293232e-08,-7.627835776123925,Healthy
0.48828125,Fp2,5.1804747093317395e-09,-8.285630442147207,Healthy
0.732421875,Fp2,1.2849319099171844e-09,-8.891119885508353,Healthy
0.9765625,Fp2,6.671055340522545e-10,-9.175805456591627,Healthy
1.220703125,Fp2,4.804324642963745e-10,-9.31836765366629,Healthy
1.46484375,Fp2,4.037212930057433e-10,-9.3939183444935,Healthy
1.708984375,Fp2,2.7841689107751877e-10,-9.555304420357334,Healthy
1.953125,Fp2,1.7031937147645243e-10,-9.76873595422833,Healthy
2.197265625,Fp2,1.5248425900830762e-10,-9.816774986341276,Healthy
2.44140625,Fp2,1.4194637243443527e-10,-9.84787570177735,Healthy
2.685546875,Fp2,1.4256649741167703e-10,-9.845982520057088,Healthy
2.9296875,Fp2,1.2610352083244926e-10,-9.89927278767943,Healthy
3.173828125,Fp2,9.486956157338736e-11,-10.022873106446816,Healthy
3.41796875,Fp2,6.585607946767197e-11,-10.181404127195878,Healthy
3.662109375,Fp2,6.708465278482686e-11,-10.173376823694156,Healthy
3.90625,Fp2,5.32677334739396e-11,-10.273535781921806,Healthy
4.150390625,Fp2,4.749703323702357e-11,-10.323333516459943,Healthy
4.39453125,Fp2,3.710829638097782e-11,-10.430528983385624,Healthy
4.638671875,Fp2,2.992380761148385e-11,-10.52398314612022,Healthy
4.8828125,Fp2,2.801717328525464e-11,-10.552575683773396,Healthy
5.126953125,Fp2,2.7831789463522816e-11,-10.555458869513991,Healthy
5.37109375,Fp2,2.5840619339583168e-11,-10.58769708152293,Healthy
5.615234375,Fp2,1.9830275934934893e-11,-10.702671242618408,Healthy
5.859375,Fp2,1.4591306460408457e-11,-10.835905820982193,Healthy
6.103515625,Fp2,1.5776569251024196e-11,-10.801987431883187,Healthy
6.34765625,Fp2,1.6305559092137388e-11,-10.787664305323691,Healthy
6.591796875,Fp2,1.2306898146539518e-11,-10.909851393664324,Healthy
6.8359375,Fp2,1.021362456886211e-11,-10.990820109929484,Healthy
7.080078125,Fp2,9.793417659160787e-12,-11.00906572377422,Healthy
7.32421875,Fp2,1.0324413440736806e-11,-10.986134612474215,Healthy
7.568359375,Fp2,9.530904903618239e-12,-11.020865863685788,Healthy
7.8125,Fp2,7.883994928160301e-12,-11.103253663777767,Healthy
8.056640625,Fp2,7.791752531571146e-12,-11.108364849235162,Healthy
8.30078125,Fp2,8.30298875851607e-12,-11.080765550071176,Healthy
8.544921875,Fp2,7.982168728194685e-12,-11.097879096277705,Healthy
8.7890625,Fp2,1.0963234793857746e-11,-10.960061284734376,Healthy
9.033203125,Fp2,1.1853657166786156e-11,-10.926147637644164,Healthy
9.27734375,Fp2,1.2400877288903966e-11,-10.90654758997866,Healthy
9.521484375,Fp2,1.4081158456520925e-11,-10.851361614328956,Healthy
9.765625,Fp2,1.1133978448986098e-11,-10.95334962365199,Healthy
10.009765625,Fp2,8.779797900255701e-12,-11.056515480883638,Healthy
10.25390625,Fp2,5.642225512903855e-12,-11.24854955961056,Healthy
10.498046875,Fp2,4.669254961452017e-12,-11.33075241107058,Healthy
10.7421875,Fp2,4.252970384062777e-12,-11.371307641523666,Healthy
10.986328125,Fp2,3.701849632572735e-12,-11.431581226066692,Healthy
