frequency,channel,power,log_power
34.66796875,Fp1,3.5211591817181997e-13,-12.453314341252115
34.912109375,Fp1,3.7406529892668797e-13,-12.42705257831251
35.15625,Fp1,3.808630038177778e-13,-12.419231211687
35.400390625,Fp1,3.887982439102782e-13,-12.410275705324462
35.64453125,Fp1,3.4651864216676414e-13,-12.460273396052546
35.888671875,Fp1,3.285755322595869e-13,-12.483364779915815
36.1328125,Fp1,4.011300651644237e-13,-12.39671478592244
36.376953125,Fp1,5.103669435812454e-13,-12.292117462588564
36.62109375,Fp1,4.1892710376286253e-13,-12.377861540727677
36.865234375,Fp1,3.9265184007082125e-13,-12.405992362987588
37.109375,Fp1,3.965530853817266e-13,-12.401698666744478
37.353515625,Fp1,3.696749526689122e-13,-12.43217997405818
37.59765625,Fp1,3.728419999579613e-13,-12.428475171096562
37.841796875,Fp1,3.68207567428705e-13,-12.433907290088506
38.0859375,Fp1,3.3535792125166913e-13,-12.47449143104016
38.330078125,Fp1,3.5344769440101553e-13,-12.451674846969672
38.57421875,Fp1,4.714156406767936e-13,-12.326596012505501
38.818359375,Fp1,4.0599209036757544e-13,-12.391482427366594
39.0625,Fp1,4.3849025862087183e-13,-12.358040050357676
39.306640625,Fp1,3.264174337620953e-13,-12.48622665388729
39.55078125,Fp1,3.4128440962478725e-13,-12.466883550480734
39.794921875,Fp1,3.771585999107554e-13,-12.423475985121033
0.0,Fp2,2.874061155321986e-09,-8.541503995027018
0.244140625,Fp2,2.3559399893293232e-08,-7.627835776123925
0.48828125,Fp2,5.1804747093317395e-09,-8.285630442147207
0.732421875,Fp2,1.2849319099171846e-09,-8.891119885508353
0.9765625,Fp2,6.671055340522545e-10,-9.175805456591627
1.220703125,Fp2,4.804324642963746e-10,-9.31836765366629
1.46484375,Fp2,4.037212930057433e-10,-9.393918344493501
1.708984375,Fp2,2.7841689107751877e-10,-9.555304420357334
1.953125,Fp2,1.7031937147645243e-10,-9.76873595422833
2.197265625,Fp2,1.5248425900830762e-10,-9.816774986341276
2.44140625,Fp2,1.4194637243443527e-10,-9.84787570177735
2.685546875,Fp2,1.4256649741167703e-10,-9.845982520057088
2.9296875,Fp2,1.2610352083244926e-10,-9.89927278767943
3.173828125,Fp2,9.486956157338736e-11,-10.022873106446815
3.41796875,Fp2,6.585607946767197e-11,-10.181404127195878
3.662109375,Fp2,6.708465278482686e-11,-10.173376823694156
3.90625,Fp2,5.32677334739396e-11,-10.273535781921806
4.150390625,Fp2,4.749703323702357e-11,-10.323333516459945
4.39453125,Fp2,3.710829638097782e-11,-10.430528983385624
4.638671875,Fp2,2.992380761148385e-11,-10.523983146120221
4.8828125,Fp2,2.8017173285254637e-11,-10.552575683773396
5.126953125,Fp2,2.7831789463522816e-11,-10.555458869513993
5.37109375,Fp2,2.5840619339583168e-11,-10.58769708152293
5.615234375,Fp2,1.9830275934934893e-11,-10.702671242618408
5.859375,Fp2,1.4591306460408457e-11,-10.835905820982193
6.103515625,Fp2,1.5776569251024196e-11,-10.801987431883187
6.34765625,Fp2,1.6305559092137388e-11,-10.787664305323691
6.591796875,Fp2,1.2306898146539518e-11,-10.909851393664324
6.8359375,Fp2,1.021362456886211e-11,-10.990820109929484
7.080078125,Fp2,9.793417659160787e-12,-11.009065723774219
7.32421875,Fp2,1.0324413440736806e-11,-10.986134612474217
7.568359375,Fp2,9.53090490361824e-12,-11.020865863685787
7.8125,Fp2,7.883994928160301e-12,-11.103253663777767
8.056640625,Fp2,7.791752531571146e-12,-11.108364849235162
8.30078125,Fp2,8.30298875851607e-12,-11.080765550071177
8.544921875,Fp2,7.982168728194685e-12,-11.097879096277703
8.7890625,Fp2,1.0963234793857746e-11,-10.960061284734376
9.033203125,Fp2,1.1853657166786156e-11,-10.926147637644165
9.27734375,Fp2,1.2400877288903966e-11,-10.90654758997866
9.521484375,Fp2,1.4081158456520925e-11,-10.851361614328955
9.765625,Fp2,1.1133978448986098e-11,-10.95334962365199
10.009765625,Fp2,8.779797900255701e-12,-11.056515480883638
10.25390625,Fp2,5.642225512903855e-12,-11.24854955961056
10.498046875,Fp2,4.669254961452017e-12,-11.330752411070579
10.7421875,Fp2,4.252970384062777e-12,-11.371307641523666
10.986328125,Fp2,3.701849632572735e-12,-11.431581226066692
11.23046875,Fp2,3.166530292992468e-12,-11.499416352886453
11.474609375,Fp2,2.5933724025659143e-12,-11.586135115021369
11.71875,Fp2,2.4295850801165297e-12,-11.614467888048532
11.962890625,Fp2,2.287564387770032e-12,-11.64062667306056
12.20703125,Fp2,2.027481951203853e-12,-11.693043003221597
12.451171875,Fp2,2.3176531686085722e-12,-11.63495155466637
12.6953125,Fp2,1.9966844149999717e-12,-11.699690571911841
12.939453125,Fp2,1.9055009979629232e-12,-11.719990819439872
13.18359375,Fp2,1.944478002590393e-12,-11.711196965557225
13.427734375,Fp2,1.9813297085846018e-12,-11.703043248487575
13.671875,Fp2,1.832227654038092e-12,-11.737020566284954
13.916015625,Fp2,1.6571145469646892e-12,-11.780647470219604
14.16015625,Fp2,1.768832691524099e-12,-11.752313243734793
14.404296875,Fp2,1.870556045250675e-12,-11.728029275020727
14.6484375,Fp2,1.6266368403364488e-12,-11.78870939595223
14.892578125,Fp2,1.640192508772955e-12,-11.785105175982029
15.13671875,Fp2,1.7017845604495366e-12,-11.769095420826131
15.380859375,Fp2,1.48845716249962e-12,-11.827263659746006
15.625,Fp2,1.6120653911038086e-12,-11.792617345645345
15.869140625,Fp2,1.6891245892165224e-12,-11.772338315844218
16.11328125,Fp2,1.5020642149314305e-12,-11.82331150035832
16.357421875,Fp2,1.4487928468062176e-12,-11.838993706951491
16.6015625,Fp2,1.500488196972056e-12,-11.82376741644044
16.845703125,Fp2,1.4650386780644229e-12,-11.834150909474914
17.08984375,Fp2,1.5508673907396809e-12,-11.809425335604937
17.333984375,Fp2,1.6887031094334937e-12,-11.77244669694668
17.578125,Fp2,1.642191448450638e-12,-11.784576213745856
17.822265625,Fp2,1.5825518502280308e-12,-11.800642051990529
18.06640625,Fp2,1.7515255760460813e-12,-11.75658351666511
18.310546875,Fp2,1.656508620184265e-12,-11.780806299782794
18.5546875,Fp2,1.5029675085783464e-12,-11.823050407967754
18.798828125,Fp2,1.4833835668426656e-12,-11.828746536480407
19.04296875,Fp2,1.5654773075064172e-12,-11.805353223349634
19.287109375,Fp2,1.7082586537733264e-12,-11.767446370531232
19.53125,Fp2,1.4491084508489262e-12,-11.838899110841632
19.775390625,Fp2,1.5063331517220766e-12,-11.82207896574923
20.01953125,Fp2,1.5562036157488933e-12,-11.807933579961482
20.263671875,Fp2,1.3661487092243325e-12,-11.86450202387531
20.5078125,Fp2,1.1575033050456213e-12,-11.936477760257286
20.751953125,Fp2,1.4209553273840096e-12,-11.847419575398064
20.99609375,Fp2,1.2607560567855802e-12,-11.899368936774035
21.240234375,Fp2,1.4435399226268708e-12,-11.840571200742874
21.484375,Fp2,1.2029284622541504e-12,-11.919760199237102
21.728515625,Fp2,1.3009590524798638e-12,-11.885736372586686
21.97265625,Fp2,1.1141090882625277e-12,-11.953072283030384
22.216796875,Fp2,1.0693619990584792e-12,-11.97087525308816
22.4609375,Fp2,1.0605587959878592e-12,-11.97446524976386
22.705078125,Fp2,1.0441673038239112e-12,-11.981229910044258
22.94921875,Fp2,1.0075823725792466e-12,-11.996719438989057
23.193359375,Fp2,9.814084080454236e-13,-12.008150225596912
23.4375,Fp2,9.67225927086931e-13,-12.014472070460075
23.681640625,Fp2,9.620108033244812e-13,-12.01682005083343
23.92578125,Fp2,9.445335408837384e-13,-12.024782615442424
24.169921875,Fp2,8.513173511319473e-13,-12.069908514940687
24.4140625,Fp2,9.663208823855204e-13,-12.014878635169529
24.658203125,Fp2,8.48181657574992e-13,-12.071511123647236
24.90234375,Fp2,8.602940394526797e-13,-12.065353086098217
25.146484375,Fp2,9.474115909240095e-13,-12.023461306283654
25.390625,Fp2,9.48077954093929e-13,-12.023155952070203
25.634765625,Fp2,8.57090786581639e-13,-12.066973173382323
25.87890625,Fp2,8.58827195687147e-13,-12.066094211616024
26.123046875,Fp2,8.359150375293536e-13,-12.077837862043403
26.3671875,Fp2,9.495169490587533e-13,-12.022497278618388
26.611328125,Fp2,8.110161650624799e-13,-12.090970489404787
26.85546875,Fp2,7.54399466696447e-13,-12.12239862728408
27.099609375,Fp2,8.165781442798133e-13,-12.088002248152549
27.34375,Fp2,7.373460475962199e-13,-12.132328643361948
27.587890625,Fp2,7.186367377222851e-13,-12.143490584818206
27.83203125,Fp2,7.351718398937892e-13,-12.133611136568843
28.076171875,Fp2,7.105026308498443e-13,-12.148434309627497
28.3203125,Fp2,6.673498876194286e-13,-12.17564640833071
28.564453125,Fp2,6.80456729105017e-13,-12.167199486784549
28.80859375,Fp2,6.838699777417144e-13,-12.165026461608836
29.052734375,Fp2,7.171460464746908e-13,-12.144392391446338
29.296875,Fp2,7.223740075921869e-13,-12.141237889165163
29.541015625,Fp2,6.666927306759216e-13,-12.176074280204489
29.78515625,Fp2,7.382818366331749e-13,-12.13177781605135
30.029296875,Fp2,7.233522090989489e-13,-12.140650187874972
30.2734375,Fp2,7.105725839559722e-13,-12.148391552920897
30.517578125,Fp2,6.183414921296233e-13,-12.20877161036941
30.76171875,Fp2,6.054947661849362e-13,-12.21788960648761
31.005859375,Fp2,6.321565127475763e-13,-12.199175383414751
31.25,Fp2,6.618828013334167e-13,-12.179218903672387
31.494140625,Fp2,6.113755609269971e-13,-12.213691925712451
31.73828125,Fp2,6.208075490616173e-13,-12.207043010667602
31.982421875,Fp2,6.687307209311246e-13,-12.174748725215828
32.2265625,Fp2,5.746906392712249e-13,-12.2405658767239
32.470703125,Fp2,5.894798961142705e-13,-12.229531001689365
32.71484375,Fp2,7.076625585271447e-13,-12.150173781723005
32.958984375,Fp2,6.489391119153869e-13,-12.187796049886341
33.203125,Fp2,6.467379392138662e-13,-12.189271661539452
33.447265625,Fp2,6.613022158148188e-13,-12.179600022109966
33.69140625,Fp2,6.993110791470157e-13,-12.155329591201635
33.935546875,Fp2,5.785993970211819e-13,-12.237622023281382
34.1796875,Fp2,6.015535814786327e-13,-12.220725683196763
34.423828125,Fp2,6.230467193665316e-13,-12.205479386402887
34.66796875,Fp2,5.828312121111029e-13,-12.234457198692276
34.912109375,Fp2,5.91741914860446e-13,-12.227867667248448
